Baccinum sp.						Yang, M.S. and P.A. Livingston. 1988. Food habits and daily ration of Greenland Halibut, <i>Reinhardtius hippoglossoides</i>, in the eastern Bering Sea. Fish. Bull. 86(4):675-690.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
bachiopods						Hansen, D. 1970. Food, growth, migration, reproduction and abundance of pinfish, <i>Lagodon rhomboides</i> and Atlantic croaker, <i>Micropogon undulatus</i>, near Pensacola, Florida. U.S. Fish. Comm. Bull. 68(1):135-146.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
baetids						Fagundes, C.K., E.R. Behr and C.B. Kotzian. 2008. Diet of <i>Iheringichthys labrosus</i> (Siluriformes, Pimelodidae) in the Ibicuí River, southern Brazil. Iheringia, Ser. Zool. 98(1):60-65.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Baetoide			Baetoidea	Biota | Animalia | Arthropoda | Hexapoda | Insecta | Pterygota | Ephemeroptera | Baetoidea	WORMS:593158	Chilton, G., K.A. Martin and J.H. Gee. 1984. Winter feeding: an adaptive strategy broadening the niche of the central mudminnow, <i>Umbra limi</i>. Environ. Biol. Fish. 10(3):215-219.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Baetoide naiad						Chilton, G., K.A. Martin and J.H. Gee. 1984. Winter feeding: an adaptive strategy broadening the niche of the central mudminnow, <i>Umbra limi</i>. Environ. Biol. Fish. 10(3):215-219.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
bagrids						Mims, S.D., T.A. Georgi and C.H. Liu. 1993. The Chinese paddlefish, <i>Psephurus gladius</i>: biology, life history, and potential for cultivation. World Aquacult. 24(1):46-48.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Baikal oilfish						Zubin, A.A. 1992. Diet of benthopelagic Baikal sculpins (Scorpaeniformes, Cottoidei). J. Ichthyol. 32(5):42-47.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Balanidae nauplius			Balanidae	Animalia | Arthropoda | Maxillopoda | Sessilia | Balanidae	GBIF:9152	Hamada, R. and I. Kinoshita. 1988. Feeding habit of larval and juvenile ayu,<i>Plecoglossus altivelis</i> in the surf zone of Tosa Bay, Japan. Jap. J. Ichthyol. 35(3):382-388.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Balanidae nauplius			Balanidae	Animalia | Arthropoda | Maxillopoda | Sessilia | Balanidae	IRMNG:108665	Hamada, R. and I. Kinoshita. 1988. Feeding habit of larval and juvenile ayu,<i>Plecoglossus altivelis</i> in the surf zone of Tosa Bay, Japan. Jap. J. Ichthyol. 35(3):382-388.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Balanidae nauplius			Balanidae	Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Crustacea | Maxillopoda | Thecostraca | Cirripedia | Thoracica | Sessilia | Balanomorpha | Balanoidea | Balanidae	ITIS:89599	Hamada, R. and I. Kinoshita. 1988. Feeding habit of larval and juvenile ayu,<i>Plecoglossus altivelis</i> in the surf zone of Tosa Bay, Japan. Jap. J. Ichthyol. 35(3):382-388.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Balanidae nauplius			Balanidae	Biota | Animalia | Arthropoda | Crustacea | Multicrustacea | Thecostraca | Cirripedia | Thoracica | Sessilia | Balanomorpha | Balanoidea | Balanidae	WORMS:106057	Hamada, R. and I. Kinoshita. 1988. Feeding habit of larval and juvenile ayu,<i>Plecoglossus altivelis</i> in the surf zone of Tosa Bay, Japan. Jap. J. Ichthyol. 35(3):382-388.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Balanidae nauplius			Balanidae	 | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Crustacea | Maxillopoda | Thecostraca | Cirripedia | Thoracica | Sessilia | Balanidae	NCBI:37806	Hamada, R. and I. Kinoshita. 1988. Feeding habit of larval and juvenile ayu,<i>Plecoglossus altivelis</i> in the surf zone of Tosa Bay, Japan. Jap. J. Ichthyol. 35(3):382-388.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
