Najaceae						Tait, R.D. 1981. Comparison of the diets of the northern spotted barramundi (<i>Scleropages jardini</i>) and the giant perch (<i>Lates calcarifer</i>) in northern Australia. Verh. Internat. Verein. Limnol. 21:1320-1325.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nasarius sp.						Cruz, V.H., L.A. Abitia, L. Campos and F. Galvan. 2000. Trophic biology contributions of the slender-spined catfish <i>Arius platypogon</i> (Günther, 1864), in San Ignacio Lagoon, Baja California Sur, Mexico. Rev. Biol. Mar. Oceanogr. 35(1):41-47.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
natant crustaceans						Brulé, T., D.O. Avila, M.S. Crespo and C. Déniel. 1994. Seasonal and diel changes in diet composition of juvenile red grouper (<i>Epinephelus morio</i>) from Campeche Bank. Bull. Mar. Sci. 55(1):255-262.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
natantian decapod						Labropoulou, M. and G. Markakis. 1998. Morphological-dietary relationships within two assemblages of marine demersal fishes. Environ. Biol. Fish. 51:309-319.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Natantia unidentified			Dendrobranchiata	Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Eucarida | Decapoda | Dendrobranchiata	ITIS:95600	Morato, T., E. Solà, M.P. Grós and G. Menezes. 1999. Diets of forkbeard (<i>Phycis phycis</i>) and conger eel (<i>Conger conger</i>) off the Azores during spring of 1996 and 1997. Life Mar. Sci. 17A:51-64.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Natantia unidentified			Natantia	Biota | Animalia | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Eucarida | Decapoda | Natantia	WORMS:181484	Morato, T., E. Solà, M.P. Grós and G. Menezes. 1999. Diets of forkbeard (<i>Phycis phycis</i>) and conger eel (<i>Conger conger</i>) off the Azores during spring of 1996 and 1997. Life Mar. Sci. 17A:51-64.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Natica ondulata			Natica undulata	Animalia | Mollusca | Gastropoda | Littorinimorpha | Naticidae | Natica | Natica undulata	IRMNG:10829128	Dia, M., M. Ghorbel, A. Bouain and Y. Kone. 2000. Régime alimentaire de <i>Pagrus caeruleostictus</i> (Sparidae) des côtes de Nouakchott (Mauritanie). Cybium 24(1):81-88.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Natica ondulata			Natica undulata	Gastropoda | Neotaenioglossa | Naticidae | Natica | Natica undulata	FBC:SLB:SpecCode:103442	Dia, M., M. Ghorbel, A. Bouain and Y. Kone. 2000. Régime alimentaire de <i>Pagrus caeruleostictus</i> (Sparidae) des côtes de Nouakchott (Mauritanie). Cybium 24(1):81-88.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Natica ondulata			Tanea undulata	Animalia | Mollusca | Gastropoda | Littorinimorpha | Naticidae | Tanea | Tanea undulata	GBIF:4963936	Dia, M., M. Ghorbel, A. Bouain and Y. Kone. 2000. Régime alimentaire de <i>Pagrus caeruleostictus</i> (Sparidae) des côtes de Nouakchott (Mauritanie). Cybium 24(1):81-88.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Natica ondulata			Tanea undulata	Biota | Animalia | Mollusca | Gastropoda | Caenogastropoda | Littorinimorpha | Naticoidea | Naticidae | Naticinae | Tanea | Tanea undulata	WORMS:570116	Dia, M., M. Ghorbel, A. Bouain and Y. Kone. 2000. Régime alimentaire de <i>Pagrus caeruleostictus</i> (Sparidae) des côtes de Nouakchott (Mauritanie). Cybium 24(1):81-88.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
