wasp						Randall, J.E. 1967. Food habits of reef fishes of the West Indies. Stud. Trop. Oceanogr. Miami 5:665-847.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water bugs						Nautiyal, P. and M.S. Lal. 1984. Food and feeding habits of fingerlings and juveniles of mahseer (<i>Tor putitora</i> Ham.) in Nayar River. J. Bombay Nat. Hist. Soc. 81(3):642-647.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
waterlily seeds						Lévêque, C. and J. Daget. 1984. Cyprinidae. p. 217-342. In J. Daget, J.-P. Gosse and D.F.E. Thys van den Audenaerde (eds.) Check-list of the freshwater fishes of Africa (CLOFFA). ORSTOM, Paris and MRAC, Tervuren. Vol. 1.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water louse						Maitland, P.S. and R.N. Campbell. 1992. Freshwater fishes of the British Isles. HarperCollins Publishers, London.368 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water mite						Oscoz, J., F. Campos and M.C. Escala. 2003. Alimentación del gobio (<i>Gobio gobio</i> (L. 1758)) en el río Larraun (Navarra, N. Españna). Limnetica 22(3-4):77-84.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water mite						Oscoz, J., P.M. Leunda, R. Miranda and M.C. Escala. 2006. Summer feeding relationships of the co-occurring <i>Phoxinus phoxinus</i> and <i>Gobio lozanoi</i> (Cyprinidae) in an Iberian river. Folia Zool. 55(4):418-432.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water moths						Fedorov, V.V. 1986. Cottidae. p. 1243-1260. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. UNESCO, Paris. Vol. 3.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water naiad						Colle, D.E., J.V. Shireman and R.W. Rottman. 1978. Food selection by grass carp fingerlings in a vegetated pond. Trans. Am. Fish. Soc. 107(1):149-152.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
water scorpion larvae						Jesu Arockia Raj, A., M.A. Haniffa, S. Seetharaman and S.P. Singh. 2004. Food and feeding habits of an endemic catfish <i>Mystus montanus</i> (Jerdon) in River Tambaraparani. Indian J. Fish. 51(1):107-109.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
whole alpheid						Mooi, R.D and A.C. Gill. 2004. Notograptidae, sister to <i>Acanthoplesiops</i> Regan (Teleostei: Plesiopidae: Acanthoclininae) with comments on biogeography, diet and morphological convergence with Congrogadinae (Teleostei: Pseudochromidae). Zool. J. Linn. Soc. 141(2):179-205.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
